play,act,scene,start_line,end_line
VENUS AND ADONIS,ACT V,SCENE II,7099,7185
VENUS AND ADONIS,ACT V,SCENE III,7188,7830
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE I,7978,8091
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE II,8094,8497
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE III,8500,8712
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE IV,8715,8843
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE V,8846,9010
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE I,9013,9106
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE II,9109,9579
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE III,9582,9670
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE IV,9673,9704
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE V,9707,9995
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE VI,9998,10295
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE VII,10298,10616
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE I,10619,10678
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE II,10681,10847
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE III,10850,11002
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE IV,11005,11059
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE V,11062,11113
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE VI,11116,11288
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE VII,11291,11482
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE VIII,11485,11500
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE IX,11503,11512
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE X,11515,11601
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE XI,11604,11749
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE XII,11752,11827
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE XIII,11830,12235
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE I,12238,12266
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE II,12269,12367
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE III,12370,12462
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE IV,12465,12561
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE V,12564,12614
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE VI,12617,12693
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE VII,12696,12747
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE VIII,12750,12810
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE IX,12813,12897
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE X,12900,12919
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XI,12922,12931
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XII,12934,13013
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XIII,13016,13037
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XIV,13040,13351
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XV,13354,13536
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT V,SCENE I,13539,13691
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT V,SCENE II,13694,14473
AS YOU LIKE IT,ACT I,SCENE I,14554,14778
AS YOU LIKE IT,ACT I,SCENE II,14781,15267
AS YOU LIKE IT,ACT I,SCENE III,15270,15512
AS YOU LIKE IT,ACT II,SCENE I,15516,15611
AS YOU LIKE IT,ACT II,SCENE II,15614,15646
AS YOU LIKE IT,ACT II,SCENE III,15649,15749
AS YOU LIKE IT,ACT II,SCENE IV,15752,15923
AS YOU LIKE IT,ACT II,SCENE V,15926,16023
AS YOU LIKE IT,ACT II,SCENE VI,16026,16046
AS YOU LIKE IT,ACT II,SCENE VII,16049,16350
AS YOU LIKE IT,ACT III,SCENE I,16354,16381
AS YOU LIKE IT,ACT III,SCENE II,16384,17029
AS YOU LIKE IT,ACT III,SCENE III,17032,17181
AS YOU LIKE IT,ACT III,SCENE IV,17184,17287
AS YOU LIKE IT,ACT III,SCENE V,17290,17492
AS YOU LIKE IT,ACT IV,SCENE I,17496,17836
AS YOU LIKE IT,ACT IV,SCENE II,17839,17874
AS YOU LIKE IT,ACT IV,SCENE III,17877,18178
AS YOU LIKE IT,ACT V,SCENE I,18182,18300
AS YOU LIKE IT,ACT V,SCENE II,18303,18501
AS YOU LIKE IT,ACT V,SCENE III,18504,18577
AS YOU LIKE IT,ACT V,SCENE IV,18580,18911
THE COMEDY OF ERRORS,ACT I,SCENE I,18967,19149
THE COMEDY OF ERRORS,ACT I,SCENE II,19152,19321
THE COMEDY OF ERRORS,ACT II,SCENE I,19324,19524
THE COMEDY OF ERRORS,ACT II,SCENE II,19527,19910
THE COMEDY OF ERRORS,ACT III,SCENE I,19913,20172
THE COMEDY OF ERRORS,ACT III,SCENE II,20175,20485
THE COMEDY OF ERRORS,ACT IV,SCENE I,20488,20695
THE COMEDY OF ERRORS,ACT IV,SCENE II,20698,20843
THE COMEDY OF ERRORS,ACT IV,SCENE III,20846,20995
THE COMEDY OF ERRORS,ACT IV,SCENE IV,20998,21349
THE COMEDY OF ERRORS,ACT V,SCENE I,21352,22112
TWO VOLSCIAN GUARDS,ACT I,SCENE I,22194,22675
TWO VOLSCIAN GUARDS,ACT I,SCENE II,22678,22749
TWO VOLSCIAN GUARDS,ACT I,SCENE III,22752,22940
TWO VOLSCIAN GUARDS,ACT I,SCENE IV,22943,23103
TWO VOLSCIAN GUARDS,ACT I,SCENE V,23106,23169
TWO VOLSCIAN GUARDS,ACT I,SCENE VI,23172,23340
TWO VOLSCIAN GUARDS,ACT I,SCENE VII,23343,23362
TWO VOLSCIAN GUARDS,ACT I,SCENE VIII,23365,23403
TWO VOLSCIAN GUARDS,ACT I,SCENE IX,23406,23561
TWO VOLSCIAN GUARDS,ACT I,SCENE X,23564,23625
TWO VOLSCIAN GUARDS,ACT II,SCENE I,23629,24097
TWO VOLSCIAN GUARDS,ACT II,SCENE II,24100,24378
TWO VOLSCIAN GUARDS,ACT II,SCENE III,24381,24854
TWO VOLSCIAN GUARDS,ACT III,SCENE I,24858,25616
TWO VOLSCIAN GUARDS,ACT III,SCENE II,25619,25888
TWO VOLSCIAN GUARDS,ACT III,SCENE III,25891,26203
TWO VOLSCIAN GUARDS,ACT IV,SCENE I,26207,26298
TWO VOLSCIAN GUARDS,ACT IV,SCENE II,26301,26444
TWO VOLSCIAN GUARDS,ACT IV,SCENE III,26447,26530
TWO VOLSCIAN GUARDS,ACT IV,SCENE IV,26533,26586
TWO VOLSCIAN GUARDS,ACT IV,SCENE V,26589,27000
TWO VOLSCIAN GUARDS,ACT IV,SCENE VI,27003,27365
TWO VOLSCIAN GUARDS,ACT IV,SCENE VII,27368,27449
TWO VOLSCIAN GUARDS,ACT V,SCENE I,27453,27588
TWO VOLSCIAN GUARDS,ACT V,SCENE II,27591,27772
TWO VOLSCIAN GUARDS,ACT V,SCENE III,27775,28100
TWO VOLSCIAN GUARDS,ACT V,SCENE IV,28103,28219
TWO VOLSCIAN GUARDS,ACT V,SCENE V,28222,28239
TWO VOLSCIAN GUARDS,ACT V,SCENE VI,28242,28557
TWO VOLSCIAN GUARDS,ACT II,SCENE II,28569,28569
TWO VOLSCIAN GUARDS,ACT II,SCENE III,28571,28571
TWO VOLSCIAN GUARDS,ACT V,SCENE II,28594,28594
TWO VOLSCIAN GUARDS,ACT V,SCENE V,28602,28639
TWO BRITISH CAPTAINS,ACT I,SCENE I,28646,28763
TWO BRITISH CAPTAINS,ACT I,SCENE II,28766,29007
TWO BRITISH CAPTAINS,ACT I,SCENE III,29010,29085
TWO BRITISH CAPTAINS,ACT I,SCENE IV,29088,29169
TWO BRITISH CAPTAINS,ACT I,SCENE V,29172,29417
TWO BRITISH CAPTAINS,ACT I,SCENE VI,29420,29572
TWO BRITISH CAPTAINS,ACT I,SCENE VII,29575,29941
TWO BRITISH CAPTAINS,ACT II,SCENE I,29945,30057
TWO BRITISH CAPTAINS,ACT II,SCENE II,30059,30140
TWO BRITISH CAPTAINS,ACT II,SCENE III,30142,30450
TWO BRITISH CAPTAINS,ACT II,SCENE IV,30453,30767
TWO BRITISH CAPTAINS,ACT II,SCENE V,30770,30815
TWO BRITISH CAPTAINS,ACT III,SCENE I,30819,30944
TWO BRITISH CAPTAINS,ACT III,SCENE II,30947,31060
TWO BRITISH CAPTAINS,ACT III,SCENE III,31063,31199
TWO BRITISH CAPTAINS,ACT III,SCENE IV,31202,31491
TWO BRITISH CAPTAINS,ACT III,SCENE V,31494,31806
TWO BRITISH CAPTAINS,ACT III,SCENE VI,31809,31841
TWO BRITISH CAPTAINS,ACT III,SCENE VII,31844,31991
TWO BRITISH CAPTAINS,ACT III,SCENE VIII,31994,32033
TWO BRITISH CAPTAINS,ACT IV,SCENE I,32037,32061
TWO BRITISH CAPTAINS,ACT IV,SCENE II,32064,32836
TWO BRITISH CAPTAINS,ACT IV,SCENE III,32839,32917
TWO BRITISH CAPTAINS,ACT IV,SCENE IV,32920,33018
TWO BRITISH CAPTAINS,ACT V,SCENE I,33022,33060
TWO BRITISH CAPTAINS,ACT V,SCENE II,33062,33111
TWO BRITISH CAPTAINS,ACT V,SCENE III,33114,33263
TWO BRITISH CAPTAINS,ACT V,SCENE IV,33266,33560
TWO BRITISH CAPTAINS,ACT V,SCENE V,33563,34442
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE I,34516,34840
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE II,34843,35285
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE III,35288,35490
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE IV,35493,35670
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE V,35673,36019
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT II,SCENE I,36023,36233
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT II,SCENE II,36236,37169
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT III,SCENE I,37173,37467
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT III,SCENE II,37470,38166
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT III,SCENE III,38169,38304
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT III,SCENE IV,38307,38679
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE I,38683,38755
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE II,38758,38821
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE III,38824,38963
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE IV,38966,39080
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE V,39083,39476
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE VI,39479,39530
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT IV,SCENE VII,39533,39845
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT V,SCENE I,39849,40372
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT V,SCENE II,40375,41140
THE FIRST PART OF KING HENRY THE FOURTH,ACT V,SCENE V,41193,41206
THE FIRST PART OF KING HENRY THE FOURTH,ACT I,SCENE I,41209,41340
THE FIRST PART OF KING HENRY THE FOURTH,ACT I,SCENE II,41343,41646
THE FIRST PART OF KING HENRY THE FOURTH,ACT I,SCENE III,41649,42086
THE FIRST PART OF KING HENRY THE FOURTH,ACT II,SCENE I,42089,42237
THE FIRST PART OF KING HENRY THE FOURTH,ACT II,SCENE II,42240,42452
THE FIRST PART OF KING HENRY THE FOURTH,ACT II,SCENE III,42455,42622
THE FIRST PART OF KING HENRY THE FOURTH,ACT II,SCENE IV,42625,43526
THE FIRST PART OF KING HENRY THE FOURTH,ACT III,SCENE I,43529,43963
THE FIRST PART OF KING HENRY THE FOURTH,ACT III,SCENE II,43966,44174
THE FIRST PART OF KING HENRY THE FOURTH,ACT III,SCENE III,44177,44513
THE FIRST PART OF KING HENRY THE FOURTH,ACT IV,SCENE I,44516,44732
THE FIRST PART OF KING HENRY THE FOURTH,ACT IV,SCENE II,44735,44851
THE FIRST PART OF KING HENRY THE FOURTH,ACT IV,SCENE III,44854,45038
THE FIRST PART OF KING HENRY THE FOURTH,ACT IV,SCENE IV,45041,45110
THE FIRST PART OF KING HENRY THE FOURTH,ACT V,SCENE I,45113,45302
THE FIRST PART OF KING HENRY THE FOURTH,ACT V,SCENE II,45305,45462
THE FIRST PART OF KING HENRY THE FOURTH,ACT V,SCENE III,45465,45587
THE FIRST PART OF KING HENRY THE FOURTH,ACT V,SCENE IV,45590,45865
THE FIRST PART OF KING HENRY THE FOURTH,ACT V,SCENE V,45868,45949
THE SECOND PART OF KING HENRY THE FOURTH,ACT V,SCENE V,45997,46086
THE SECOND PART OF KING HENRY THE FOURTH,ACT I,SCENE I,46089,46397
THE SECOND PART OF KING HENRY THE FOURTH,ACT I,SCENE II,46400,46737
THE SECOND PART OF KING HENRY THE FOURTH,ACT I,SCENE III,46740,46901
THE SECOND PART OF KING HENRY THE FOURTH,ACT II,SCENE I,46904,47203
THE SECOND PART OF KING HENRY THE FOURTH,ACT II,SCENE II,47206,47483
THE SECOND PART OF KING HENRY THE FOURTH,ACT II,SCENE III,47486,47575
THE SECOND PART OF KING HENRY THE FOURTH,ACT II,SCENE IV,47578,48224
THE SECOND PART OF KING HENRY THE FOURTH,ACT III,SCENE I,48227,48372
THE SECOND PART OF KING HENRY THE FOURTH,ACT III,SCENE II,48375,48904
THE SECOND PART OF KING HENRY THE FOURTH,ACT IV,SCENE I,48907,49235
THE SECOND PART OF KING HENRY THE FOURTH,ACT IV,SCENE II,49238,49452
THE SECOND PART OF KING HENRY THE FOURTH,ACT IV,SCENE III,49455,49637
THE SECOND PART OF KING HENRY THE FOURTH,ACT IV,SCENE IV,49640,49851
THE SECOND PART OF KING HENRY THE FOURTH,ACT IV,SCENE V,49854,50211
THE SECOND PART OF KING HENRY THE FOURTH,ACT V,SCENE I,50214,50344
THE SECOND PART OF KING HENRY THE FOURTH,ACT V,SCENE II,50347,50558
THE SECOND PART OF KING HENRY THE FOURTH,ACT V,SCENE III,50561,50834
THE SECOND PART OF KING HENRY THE FOURTH,ACT V,SCENE IV,50837,50893
THE SECOND PART OF KING HENRY THE FOURTH,ACT V,SCENE V,50896,51142
THE LIFE OF KING HENRY THE FIFTH,ACT V,SCENE II,51184,51288
THE LIFE OF KING HENRY THE FIFTH,ACT I,SCENE I,51292,51441
THE LIFE OF KING HENRY THE FIFTH,ACT I,SCENE II,51444,51887
THE LIFE OF KING HENRY THE FIFTH,ACT II,SCENE I,51890,52101
THE LIFE OF KING HENRY THE FIFTH,ACT II,SCENE II,52104,52366
THE LIFE OF KING HENRY THE FIFTH,ACT II,SCENE III,52369,52467
THE LIFE OF KING HENRY THE FIFTH,ACT II,SCENE IV,52470,52724
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE I,52727,52767
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE II,52770,52966
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE III,52969,53037
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE IV,53040,53164
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE V,53167,53264
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE VI,53267,53507
THE LIFE OF KING HENRY THE FIFTH,ACT III,SCENE VII,53510,53851
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE I,53854,54318
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE II,54321,54424
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE III,54427,54626
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE IV,54629,54763
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE V,54766,54816
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE VI,54819,54874
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE VII,54877,55158
THE LIFE OF KING HENRY THE FIFTH,ACT IV,SCENE VIII,55161,55423
THE LIFE OF KING HENRY THE FIFTH,ACT V,SCENE I,55426,55560
THE LIFE OF KING HENRY THE FIFTH,ACT V,SCENE II,55563,56089
COUNTESS OF AUVERGNE,ACT I,SCENE I,56194,56451
COUNTESS OF AUVERGNE,ACT I,SCENE II,56454,56701
COUNTESS OF AUVERGNE,ACT I,SCENE III,56704,56876
COUNTESS OF AUVERGNE,ACT I,SCENE IV,56879,57048
COUNTESS OF AUVERGNE,ACT I,SCENE V,57051,57123
COUNTESS OF AUVERGNE,ACT I,SCENE VI,57126,57176
COUNTESS OF AUVERGNE,ACT II,SCENE I,57180,57347
COUNTESS OF AUVERGNE,ACT II,SCENE II,57350,57447
COUNTESS OF AUVERGNE,ACT II,SCENE III,57450,57598
COUNTESS OF AUVERGNE,ACT II,SCENE IV,57601,57841
COUNTESS OF AUVERGNE,ACT II,SCENE V,57844,58024
COUNTESS OF AUVERGNE,ACT III,SCENE I,58028,58371
COUNTESS OF AUVERGNE,ACT III,SCENE II,58374,58642
COUNTESS OF AUVERGNE,ACT III,SCENE III,58645,58800
COUNTESS OF AUVERGNE,ACT III,SCENE IV,58803,58884
COUNTESS OF AUVERGNE,ACT IV,SCENE I,58888,59188
COUNTESS OF AUVERGNE,ACT IV,SCENE II,59191,59264
COUNTESS OF AUVERGNE,ACT IV,SCENE III,59267,59350
COUNTESS OF AUVERGNE,ACT IV,SCENE IV,59353,59428
COUNTESS OF AUVERGNE,ACT IV,SCENE V,59431,59527
COUNTESS OF AUVERGNE,ACT IV,SCENE VI,59530,59601
COUNTESS OF AUVERGNE,ACT IV,SCENE VII,59604,59757
COUNTESS OF AUVERGNE,ACT V,SCENE I,59761,59858
COUNTESS OF AUVERGNE,ACT V,SCENE II,59861,59908
COUNTESS OF AUVERGNE,ACT V,SCENE III,59911,60289
COUNTESS OF AUVERGNE,ACT V,SCENE IV,60292,60564
COUNTESS OF AUVERGNE,ACT V,SCENE V,60567,60716
SIR HUMPHREY STAFFORD,ACT I,SCENE I,60825,61160
SIR HUMPHREY STAFFORD,ACT I,SCENE II,61163,61318
SIR HUMPHREY STAFFORD,ACT I,SCENE III,61321,61692
SIR HUMPHREY STAFFORD,ACT I,SCENE IV,61695,61856
SIR HUMPHREY STAFFORD,ACT II,SCENE I,61860,62294
SIR HUMPHREY STAFFORD,ACT II,SCENE II,62297,62415
SIR HUMPHREY STAFFORD,ACT II,SCENE III,62418,62593
SIR HUMPHREY STAFFORD,ACT II,SCENE IV,62596,62777
SIR HUMPHREY STAFFORD,ACT III,SCENE I,62781,63313
SIR HUMPHREY STAFFORD,ACT III,SCENE II,63316,63930
SIR HUMPHREY STAFFORD,ACT III,SCENE III,63933,63996
SIR HUMPHREY STAFFORD,ACT IV,SCENE I,64000,64240
SIR HUMPHREY STAFFORD,ACT IV,SCENE II,64243,64590
SIR HUMPHREY STAFFORD,ACT IV,SCENE III,64593,64625
SIR HUMPHREY STAFFORD,ACT IV,SCENE IV,64628,64739
SIR HUMPHREY STAFFORD,ACT IV,SCENE V,64742,64763
SIR HUMPHREY STAFFORD,ACT IV,SCENE VI,64766,64796
SIR HUMPHREY STAFFORD,ACT IV,SCENE VII,64799,65000
SIR HUMPHREY STAFFORD,ACT IV,SCENE VIII,65003,65094
SIR HUMPHREY STAFFORD,ACT IV,SCENE IX,65097,65178
SIR HUMPHREY STAFFORD,ACT IV,SCENE X,65181,65291
SIR HUMPHREY STAFFORD,ACT V,SCENE I,65295,65670
SIR HUMPHREY STAFFORD,ACT V,SCENE II,65673,65836
SIR HUMPHREY STAFFORD,ACT V,SCENE III,65839,65898
SIR JOHN SOMERVILLE,ACT I,SCENE I,65996,66548
SIR JOHN SOMERVILLE,ACT I,SCENE II,66551,66694
SIR JOHN SOMERVILLE,ACT I,SCENE III,66697,66798
SIR JOHN SOMERVILLE,ACT I,SCENE IV,66801,67060
SIR JOHN SOMERVILLE,ACT II,SCENE I,67064,67347
SIR JOHN SOMERVILLE,ACT II,SCENE II,67350,67632
SIR JOHN SOMERVILLE,ACT II,SCENE III,67635,67722
SIR JOHN SOMERVILLE,ACT II,SCENE IV,67725,67749
SIR JOHN SOMERVILLE,ACT II,SCENE V,67752,67941
SIR JOHN SOMERVILLE,ACT II,SCENE VI,67944,68119
SIR JOHN SOMERVILLE,ACT III,SCENE I,68123,68284
SIR JOHN SOMERVILLE,ACT III,SCENE II,68287,68657
SIR JOHN SOMERVILLE,ACT III,SCENE III,68660,69101
SIR JOHN SOMERVILLE,ACT IV,SCENE I,69105,69366
SIR JOHN SOMERVILLE,ACT IV,SCENE II,69369,69413
SIR JOHN SOMERVILLE,ACT IV,SCENE III,69416,69549
SIR JOHN SOMERVILLE,ACT IV,SCENE IV,69552,69610
SIR JOHN SOMERVILLE,ACT IV,SCENE V,69613,69674
SIR JOHN SOMERVILLE,ACT IV,SCENE VI,69677,69840
SIR JOHN SOMERVILLE,ACT IV,SCENE VII,69843,70015
SIR JOHN SOMERVILLE,ACT IV,SCENE VIII,70018,70134
SIR JOHN SOMERVILLE,ACT V,SCENE I,70138,70372
SIR JOHN SOMERVILLE,ACT V,SCENE II,70375,70449
SIR JOHN SOMERVILLE,ACT V,SCENE III,70452,70488
SIR JOHN SOMERVILLE,ACT V,SCENE IV,70491,70607
SIR JOHN SOMERVILLE,ACT V,SCENE V,70610,70802
SIR JOHN SOMERVILLE,ACT V,SCENE VI,70805,70941
SIR JOHN SOMERVILLE,ACT V,SCENE VII,70944,71024
SIR ANTHONY DENNY,ACT I,SCENE I,71157,71553
SIR ANTHONY DENNY,ACT I,SCENE II,71556,71905
SIR ANTHONY DENNY,ACT I,SCENE III,71908,72045
SIR ANTHONY DENNY,ACT I,SCENE IV,72048,72322
SIR ANTHONY DENNY,ACT II,SCENE I,72326,72615
SIR ANTHONY DENNY,ACT II,SCENE II,72618,72896
SIR ANTHONY DENNY,ACT II,SCENE III,72899,73095
SIR ANTHONY DENNY,ACT II,SCENE IV,73098,73449
SIR ANTHONY DENNY,ACT III,SCENE I,73453,73738
SIR ANTHONY DENNY,ACT III,SCENE II,73741,74533
SIR ANTHONY DENNY,ACT IV,SCENE I,74537,74806
SIR ANTHONY DENNY,ACT IV,SCENE II,74809,75124
SIR ANTHONY DENNY,ACT V,SCENE I,75128,75465
SIR ANTHONY DENNY,ACT V,SCENE II,75468,75878
SIR ANTHONY DENNY,ACT V,SCENE III,75881,76008
SIR ANTHONY DENNY,ACT V,SCENE IV,76011,76162
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE VII,76194,76230
THE LIFE AND DEATH OF KING JOHN,ACT I,SCENE I,76233,76660
THE LIFE AND DEATH OF KING JOHN,ACT II,SCENE I,76663,77535
THE LIFE AND DEATH OF KING JOHN,ACT III,SCENE I,77538,78053
THE LIFE AND DEATH OF KING JOHN,ACT III,SCENE II,78056,78078
THE LIFE AND DEATH OF KING JOHN,ACT III,SCENE III,78081,78211
THE LIFE AND DEATH OF KING JOHN,ACT III,SCENE IV,78214,78486
THE LIFE AND DEATH OF KING JOHN,ACT IV,SCENE I,78489,78730
THE LIFE AND DEATH OF KING JOHN,ACT IV,SCENE II,78733,79141
THE LIFE AND DEATH OF KING JOHN,ACT IV,SCENE III,79144,79438
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE I,79441,79558
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE II,79561,79789
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE III,79792,79828
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE IV,79831,79922
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE V,79925,79967
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE VI,79970,80061
THE LIFE AND DEATH OF KING JOHN,ACT V,SCENE VII,80064,80262
THE TRAGEDY OF JULIUS CAESAR,ACT I,SCENE I,80341,80454
THE TRAGEDY OF JULIUS CAESAR,ACT I,SCENE II,80457,80974
THE TRAGEDY OF JULIUS CAESAR,ACT I,SCENE III,80977,81240
THE TRAGEDY OF JULIUS CAESAR,ACT II,SCENE I,81244,81811
THE TRAGEDY OF JULIUS CAESAR,ACT II,SCENE II,81814,82037
THE TRAGEDY OF JULIUS CAESAR,ACT II,SCENE III,82040,82056
THE TRAGEDY OF JULIUS CAESAR,ACT II,SCENE IV,82059,82161
THE TRAGEDY OF JULIUS CAESAR,ACT III,SCENE I,82165,82692
THE TRAGEDY OF JULIUS CAESAR,ACT III,SCENE II,82695,83170
THE TRAGEDY OF JULIUS CAESAR,ACT III,SCENE III,83173,83265
THE TRAGEDY OF JULIUS CAESAR,ACT IV,SCENE I,83269,83356
THE TRAGEDY OF JULIUS CAESAR,ACT IV,SCENE II,83359,83471
THE TRAGEDY OF JULIUS CAESAR,ACT IV,SCENE III,83474,84167
THE TRAGEDY OF JULIUS CAESAR,ACT V,SCENE I,84171,84406
THE TRAGEDY OF JULIUS CAESAR,ACT V,SCENE II,84409,84423
THE TRAGEDY OF JULIUS CAESAR,ACT V,SCENE III,84426,84639
THE TRAGEDY OF JULIUS CAESAR,ACT V,SCENE IV,84642,84713
THE TRAGEDY OF JULIUS CAESAR,ACT V,SCENE V,84716,84909
THE TRAGEDY OF KING LEAR,ACT V,SCENE III,84963,84981
THE TRAGEDY OF KING LEAR,ACT I,SCENE I,84985,85491
THE TRAGEDY OF KING LEAR,ACT I,SCENE II,85494,85769
THE TRAGEDY OF KING LEAR,ACT I,SCENE III,85772,85818
THE TRAGEDY OF KING LEAR,ACT I,SCENE IV,85821,86432
THE TRAGEDY OF KING LEAR,ACT I,SCENE V,86435,86549
THE TRAGEDY OF KING LEAR,ACT II,SCENE I,86553,86800
THE TRAGEDY OF KING LEAR,ACT II,SCENE II,86803,87120
THE TRAGEDY OF KING LEAR,ACT II,SCENE III,87123,87149
THE TRAGEDY OF KING LEAR,ACT II,SCENE IV,87152,87717
THE TRAGEDY OF KING LEAR,ACT III,SCENE I,87721,87805
THE TRAGEDY OF KING LEAR,ACT III,SCENE II,87808,87940
THE TRAGEDY OF KING LEAR,ACT III,SCENE III,87943,87977
THE TRAGEDY OF KING LEAR,ACT III,SCENE IV,87980,88294
THE TRAGEDY OF KING LEAR,ACT III,SCENE V,88297,88338
THE TRAGEDY OF KING LEAR,ACT III,SCENE VI,88341,88533
THE TRAGEDY OF KING LEAR,ACT III,SCENE VII,88536,88801
THE TRAGEDY OF KING LEAR,ACT IV,SCENE I,88805,88964
THE TRAGEDY OF KING LEAR,ACT IV,SCENE II,88967,89150
THE TRAGEDY OF KING LEAR,ACT IV,SCENE III,89153,89258
THE TRAGEDY OF KING LEAR,ACT IV,SCENE IV,89261,89312
THE TRAGEDY OF KING LEAR,ACT IV,SCENE V,89315,89401
